Phrase,Sentiment,Tokens,Lemmatized_Tokens,Lemmatized_Phrase,Stemmed_Tokens,Stemmed_Phrase
the headset fulfills my requirements so i am happy with my purchase,1,"['headset', 'fulfills', 'requirements', 'happy', 'purchase']","['headset', 'fulfills', 'requirement', 'happy', 'purchase']",the headset fulfills my requirement so i am happy with my purchase,"['headset', 'fulfil', 'requir', 'happi', 'purchas']",the headset fulfil my requir so i am happi with my purchas
logitech bluetooth headset is a ,1,"['logitech', 'bluetooth', 'headset']","['logitech', 'bluetooth', 'headset']",logitech bluetooth headset is a,"['logitech', 'bluetooth', 'headset']",logitech bluetooth headset is a
i like the fact that it rests lightly against your ear rather than inside,1,"['like', 'fact', 'rests', 'lightly', 'ear', 'rather', 'inside']","['like', 'fact', 'rest', 'lightly', 'ear', 'rather', 'inside']",i like the fact that it rest lightly against your ear rather than inside,"['like', 'fact', 'rest', 'lightli', 'ear', 'rather', 'insid']",i like the fact that it rest lightli against your ear rather than insid
a lot of websites have been rating this a very good phone and so do i,1,"['lot', 'websites', 'rating', 'good', 'phone']","['lot', 'website', 'rating', 'good', 'phone']",a lot of website have been rating this a very good phone and so do i,"['lot', 'websit', 'rate', 'good', 'phone']",a lot of websit have been rate thi a veri good phone and so do i
i have tried these cables with my computer and my ipod and it works just fine,1,"['tried', 'cables', 'computer', 'ipod', 'works', 'fine']","['tried', 'cable', 'computer', 'ipod', 'work', 'fine']",i have tried these cable with my computer and my ipod and it work just fine,"['tri', 'cabl', 'comput', 'ipod', 'work', 'fine']",i have tri these cabl with my comput and my ipod and it work just fine
the mic there is a joke and the volume is quite low,0,"['mic', 'joke', 'volume', 'quite', 'low']","['mic', 'joke', 'volume', 'quite', 'low']",the mic there is a joke and the volume is quite low,"['mic', 'joke', 'volum', 'quit', 'low']",the mic there is a joke and the volum is quit low
im returning them,0,"['im', 'returning']","['im', 'returning']",im returning them,"['im', 'return']",im return them
i does not maintain a connection with the computer while it is on my lap,0,"['maintain', 'connection', 'computer', 'lap']","['maintain', 'connection', 'computer', 'lap']",i doe not maintain a connection with the computer while it is on my lap,"['maintain', 'connect', 'comput', 'lap']",i doe not maintain a connect with the comput while it is on my lap
it is easy to turn on and off when you are in the car and the volume controls are quite accessable,1,"['easy', 'turn', 'car', 'volume', 'controls', 'quite', 'accessable']","['easy', 'turn', 'car', 'volume', 'control', 'quite', 'accessable']",it is easy to turn on and off when you are in the car and the volume control are quite accessable,"['easi', 'turn', 'car', 'volum', 'control', 'quit', 'access']",it is easi to turn on and off when you are in the car and the volum control are quit access
i have had mine for about a year and this christmas i bought some for the rest of the family,1,"['mine', 'year', 'christmas', 'bought', 'rest', 'family']","['mine', 'year', 'christmas', 'bought', 'rest', 'family']",i have had mine for about a year and this christmas i bought some for the rest of the family,"['mine', 'year', 'christma', 'bought', 'rest', 'famili']",i have had mine for about a year and thi christma i bought some for the rest of the famili
otherwise easy to install and use clear sound,1,"['otherwise', 'easy', 'install', 'use', 'clear', 'sound']","['otherwise', 'easy', 'install', 'use', 'clear', 'sound']",otherwise easy to install and use clear sound,"['otherwis', 'easi', 'instal', 'use', 'clear', 'sound']",otherwis easi to instal and use clear sound
nice leather,1,"['nice', 'leather']","['nice', 'leather']",nice leather,"['nice', 'leather']",nice leather
i had to purchase a different case,0,"['purchase', 'different', 'case']","['purchase', 'different', 'case']",i had to purchase a different case,"['purchas', 'differ', 'case']",i had to purchas a differ case
it is a joy to use,1,"['joy', 'use']","['joy', 'use']",it is a joy to use,"['joy', 'use']",it is a joy to use
very much disappointed with this company,0,"['much', 'disappointed', 'company']","['much', 'disappointed', 'company']",very much disappointed with this company,"['much', 'disappoint', 'compani']",veri much disappoint with thi compani
very satisifed with that,1,['satisifed'],['satisifed'],very satisifed with that,['satisif'],veri satisif with that
it didnt charge for me,0,"['didnt', 'charge']","['didnt', 'charge']",it didnt charge for me,"['didnt', 'charg']",it didnt charg for me
this is the phone to get for  i just bought my sa and all i can say is wow,1,"['phone', 'get', 'bought', 'sa', 'say', 'wow']","['phone', 'get', 'bought', 'sa', 'say', 'wow']",this is the phone to get for i just bought my sa and all i can say is wow,"['phone', 'get', 'bought', 'sa', 'say', 'wow']",thi is the phone to get for i just bought my sa and all i can say is wow
buttons are too small,0,"['buttons', 'small']","['button', 'small']",button are too small,"['button', 'small']",button are too small
just reading on the specs alone makes you say wow,1,"['reading', 'specs', 'alone', 'makes', 'say', 'wow']","['reading', 'spec', 'alone', 'make', 'say', 'wow']",just reading on the spec alone make you say wow,"['read', 'spec', 'alon', 'make', 'say', 'wow']",just read on the spec alon make you say wow
love it great armband,1,"['love', 'great', 'armband']","['love', 'great', 'armband']",love it great armband,"['love', 'great', 'armband']",love it great armband
i really like this product over the motorola because it is allot clearer on the ear piece and the mic,1,"['really', 'like', 'product', 'motorola', 'allot', 'clearer', 'ear', 'piece', 'mic']","['really', 'like', 'product', 'motorola', 'allot', 'clearer', 'ear', 'piece', 'mic']",i really like this product over the motorola because it is allot clearer on the ear piece and the mic,"['realli', 'like', 'product', 'motorola', 'allot', 'clearer', 'ear', 'piec', 'mic']",i realli like thi product over the motorola becaus it is allot clearer on the ear piec and the mic
however the keypads are so tinny that i sometimes reach the wrong buttons,0,"['however', 'keypads', 'tinny', 'sometimes', 'reach', 'wrong', 'buttons']","['however', 'keypad', 'tinny', 'sometimes', 'reach', 'wrong', 'button']",however the keypad are so tinny that i sometimes reach the wrong button,"['howev', 'keypad', 'tinni', 'sometim', 'reach', 'wrong', 'button']",howev the keypad are so tinni that i sometim reach the wrong button
i exchanged the sony ericson za for this and im pretty happy with that decision,1,"['exchanged', 'sony', 'ericson', 'za', 'im', 'pretty', 'happy', 'decision']","['exchanged', 'sony', 'ericson', 'za', 'im', 'pretty', 'happy', 'decision']",i exchanged the sony ericson za for this and im pretty happy with that decision,"['exchang', 'soni', 'ericson', 'za', 'im', 'pretti', 'happi', 'decis']",i exchang the soni ericson za for thi and im pretti happi with that decis
i was very impressed with the price of the cases,1,"['impressed', 'price', 'cases']","['impressed', 'price', 'case']",i wa very impressed with the price of the case,"['impress', 'price', 'case']",i wa veri impress with the price of the case
also makes it easier to hold on to,1,"['also', 'makes', 'easier', 'hold']","['also', 'make', 'easier', 'hold']",also make it easier to hold on to,"['also', 'make', 'easier', 'hold']",also make it easier to hold on to
i use this product in a motor control center where there is a lot of high voltage humming from the equipment and it works great,1,"['use', 'product', 'motor', 'control', 'center', 'lot', 'high', 'voltage', 'humming', 'equipment', 'works', 'great']","['use', 'product', 'motor', 'control', 'center', 'lot', 'high', 'voltage', 'humming', 'equipment', 'work', 'great']",i use this product in a motor control center where there is a lot of high voltage humming from the equipment and it work great,"['use', 'product', 'motor', 'control', 'center', 'lot', 'high', 'voltag', 'hum', 'equip', 'work', 'great']",i use thi product in a motor control center where there is a lot of high voltag hum from the equip and it work great
its pretty easy,1,"['pretty', 'easy']","['pretty', 'easy']",it pretty easy,"['pretti', 'easi']",it pretti easi
i cannot make calls at certain places,0,"['cannot', 'make', 'calls', 'certain', 'places']","['cannot', 'make', 'call', 'certain', 'place']",i can not make call at certain place,"['cannot', 'make', 'call', 'certain', 'place']",i can not make call at certain place
however my girl was complain that some time the phone doesnt wake up like normal phone does,0,"['however', 'girl', 'complain', 'time', 'phone', 'doesnt', 'wake', 'like', 'normal', 'phone']","['however', 'girl', 'complain', 'time', 'phone', 'doesnt', 'wake', 'like', 'normal', 'phone']",however my girl wa complain that some time the phone doesnt wake up like normal phone doe,"['howev', 'girl', 'complain', 'time', 'phone', 'doesnt', 'wake', 'like', 'normal', 'phone']",howev my girl wa complain that some time the phone doesnt wake up like normal phone doe
beautiful styling though,1,"['beautiful', 'styling', 'though']","['beautiful', 'styling', 'though']",beautiful styling though,"['beauti', 'style', 'though']",beauti style though
this company charge me a restocking fee and still not given me my refund back,0,"['company', 'charge', 'restocking', 'fee', 'still', 'given', 'refund', 'back']","['company', 'charge', 'restocking', 'fee', 'still', 'given', 'refund', 'back']",this company charge me a restocking fee and still not given me my refund back,"['compani', 'charg', 'restock', 'fee', 'still', 'given', 'refund', 'back']",thi compani charg me a restock fee and still not given me my refund back
im trying to return it for a refund,0,"['im', 'trying', 'return', 'refund']","['im', 'trying', 'return', 'refund']",im trying to return it for a refund,"['im', 'tri', 'return', 'refund']",im tri to return it for a refund
i plugged it in only to find out not a darn thing worked,0,"['plugged', 'find', 'darn', 'thing', 'worked']","['plugged', 'find', 'darn', 'thing', 'worked']",i plugged it in only to find out not a darn thing worked,"['plug', 'find', 'darn', 'thing', 'work']",i plug it in onli to find out not a darn thing work
excellent product,1,"['excellent', 'product']","['excellent', 'product']",excellent product,"['excel', 'product']",excel product
earbud piece breaks easily,0,"['earbud', 'piece', 'breaks', 'easily']","['earbud', 'piece', 'break', 'easily']",earbud piece break easily,"['earbud', 'piec', 'break', 'easili']",earbud piec break easili
lousy product,0,"['lousy', 'product']","['lousy', 'product']",lousy product,"['lousi', 'product']",lousi product
this phone tries very hard to do everything but fails at its very ability to be a phone,0,"['phone', 'tries', 'hard', 'everything', 'fails', 'ability', 'phone']","['phone', 'try', 'hard', 'everything', 'fails', 'ability', 'phone']",this phone try very hard to do everything but fails at it very ability to be a phone,"['phone', 'tri', 'hard', 'everyth', 'fail', 'abil', 'phone']",thi phone tri veri hard to do everyth but fail at it veri abil to be a phone
it is the best charger i have seen on the market yet,1,"['best', 'charger', 'seen', 'market', 'yet']","['best', 'charger', 'seen', 'market', 'yet']",it is the best charger i have seen on the market yet,"['best', 'charger', 'seen', 'market', 'yet']",it is the best charger i have seen on the market yet
sweetest phone,1,"['sweetest', 'phone']","['sweetest', 'phone']",sweetest phone,"['sweetest', 'phone']",sweetest phone
oh the charger seems to work fine,1,"['oh', 'charger', 'seems', 'work', 'fine']","['oh', 'charger', 'seems', 'work', 'fine']",oh the charger seems to work fine,"['oh', 'charger', 'seem', 'work', 'fine']",oh the charger seem to work fine
it fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal,1,"['fits', 'securely', 'ear', 'hook', 'even', 'need', 'used', 'sound', 'better', 'directed', 'ear', 'canal']","['fit', 'securely', 'ear', 'hook', 'even', 'need', 'used', 'sound', 'better', 'directed', 'ear', 'canal']",it fit so securely that the ear hook doe not even need to be used and the sound is better directed through your ear canal,"['fit', 'secur', 'ear', 'hook', 'even', 'need', 'use', 'sound', 'better', 'direct', 'ear', 'canal']",it fit so secur that the ear hook doe not even need to be use and the sound is better direct through your ear canal
not enough volume,0,"['enough', 'volume']","['enough', 'volume']",not enough volume,"['enough', 'volum']",not enough volum
echo problemvery unsatisfactory,0,"['echo', 'problemvery', 'unsatisfactory']","['echo', 'problemvery', 'unsatisfactory']",echo problemvery unsatisfactory,"['echo', 'problemveri', 'unsatisfactori']",echo problemveri unsatisfactori
you could only take  videos at a time and the quality was very poor,0,"['could', 'take', 'videos', 'time', 'quality', 'poor']","['could', 'take', 'video', 'time', 'quality', 'poor']",you could only take video at a time and the quality wa very poor,"['could', 'take', 'video', 'time', 'qualiti', 'poor']",you could onli take video at a time and the qualiti wa veri poor
dont waste your money,0,"['dont', 'waste', 'money']","['dont', 'waste', 'money']",dont waste your money,"['dont', 'wast', 'money']",dont wast your money
i am going to have to be the first to negatively review this product,0,"['going', 'first', 'negatively', 'review', 'product']","['going', 'first', 'negatively', 'review', 'product']",i am going to have to be the first to negatively review this product,"['go', 'first', 'neg', 'review', 'product']",i am go to have to be the first to neg review thi product
adapter does not provide enough charging current,0,"['adapter', 'provide', 'enough', 'charging', 'current']","['adapter', 'provide', 'enough', 'charging', 'current']",adapter doe not provide enough charging current,"['adapt', 'provid', 'enough', 'charg', 'current']",adapt doe not provid enough charg current
there was so much hype over this phone that i assumed it was the best my mistake,0,"['much', 'hype', 'phone', 'assumed', 'best', 'mistake']","['much', 'hype', 'phone', 'assumed', 'best', 'mistake']",there wa so much hype over this phone that i assumed it wa the best my mistake,"['much', 'hype', 'phone', 'assum', 'best', 'mistak']",there wa so much hype over thi phone that i assum it wa the best my mistak
you also cannot take pictures with it in the case because the lense is covered,0,"['also', 'cannot', 'take', 'pictures', 'case', 'lense', 'covered']","['also', 'cannot', 'take', 'picture', 'case', 'lense', 'covered']",you also can not take picture with it in the case because the lense is covered,"['also', 'cannot', 'take', 'pictur', 'case', 'lens', 'cover']",you also can not take pictur with it in the case becaus the lens is cover
phone falls out easily,0,"['phone', 'falls', 'easily']","['phone', 'fall', 'easily']",phone fall out easily,"['phone', 'fall', 'easili']",phone fall out easili
it didnt work people can not hear me when i talk,0,"['didnt', 'work', 'people', 'hear', 'talk']","['didnt', 'work', 'people', 'hear', 'talk']",it didnt work people can not hear me when i talk,"['didnt', 'work', 'peopl', 'hear', 'talk']",it didnt work peopl can not hear me when i talk
the text messaging feature is really tricky to use,0,"['text', 'messaging', 'feature', 'really', 'tricky', 'use']","['text', 'messaging', 'feature', 'really', 'tricky', 'use']",the text messaging feature is really tricky to use,"['text', 'messag', 'featur', 'realli', 'tricki', 'use']",the text messag featur is realli tricki to use
im really disappointed all i have now is a charger that doesnt work,0,"['im', 'really', 'disappointed', 'charger', 'doesnt', 'work']","['im', 'really', 'disappointed', 'charger', 'doesnt', 'work']",im really disappointed all i have now is a charger that doesnt work,"['im', 'realli', 'disappoint', 'charger', 'doesnt', 'work']",im realli disappoint all i have now is a charger that doesnt work
painful on the ear,0,"['painful', 'ear']","['painful', 'ear']",painful on the ear,"['pain', 'ear']",pain on the ear
lasted one day and then blew up,0,"['lasted', 'one', 'day', 'blew']","['lasted', 'one', 'day', 'blew']",lasted one day and then blew up,"['last', 'one', 'day', 'blew']",last one day and then blew up
disappointed,0,['disappointed'],['disappointed'],disappointed,['disappoint'],disappoint
kind of flops around,0,"['kind', 'flops', 'around']","['kind', 'flop', 'around']",kind of flop around,"['kind', 'flop', 'around']",kind of flop around
the screen does get smudged easily because it touches your ear and face,0,"['screen', 'get', 'smudged', 'easily', 'touches', 'ear', 'face']","['screen', 'get', 'smudged', 'easily', 'touch', 'ear', 'face']",the screen doe get smudged easily because it touch your ear and face,"['screen', 'get', 'smudg', 'easili', 'touch', 'ear', 'face']",the screen doe get smudg easili becaus it touch your ear and face
what a piece of junk i lose more calls on this phone,0,"['piece', 'junk', 'lose', 'calls', 'phone']","['piece', 'junk', 'lose', 'call', 'phone']",what a piece of junk i lose more call on this phone,"['piec', 'junk', 'lose', 'call', 'phone']",what a piec of junk i lose more call on thi phone
item does not match picture,0,"['item', 'match', 'picture']","['item', 'match', 'picture']",item doe not match picture,"['item', 'match', 'pictur']",item doe not match pictur
the only thing that disappoint me is the infra red port irda,0,"['thing', 'disappoint', 'infra', 'red', 'port', 'irda']","['thing', 'disappoint', 'infra', 'red', 'port', 'irda']",the only thing that disappoint me is the infra red port irda,"['thing', 'disappoint', 'infra', 'red', 'port', 'irda']",the onli thing that disappoint me is the infra red port irda
you can not answer calls with the unit never worked once,0,"['answer', 'calls', 'unit', 'never', 'worked']","['answer', 'call', 'unit', 'never', 'worked']",you can not answer call with the unit never worked once,"['answer', 'call', 'unit', 'never', 'work']",you can not answer call with the unit never work onc
wow loved this place,1,"['wow', 'loved', 'place']","['wow', 'loved', 'place']",wow loved this place,"['wow', 'love', 'place']",wow love thi place
crust is not good,0,"['crust', 'good']","['crust', 'good']",crust is not good,"['crust', 'good']",crust is not good
not tasty and the texture was just nasty,0,"['tasty', 'texture', 'nasty']","['tasty', 'texture', 'nasty']",not tasty and the texture wa just nasty,"['tasti', 'textur', 'nasti']",not tasti and the textur wa just nasti
stopped by during the late may bank holiday off rick steve recommendation and loved it,1,"['stopped', 'late', 'may', 'bank', 'holiday', 'rick', 'steve', 'recommendation', 'loved']","['stopped', 'late', 'may', 'bank', 'holiday', 'rick', 'steve', 'recommendation', 'loved']",stopped by during the late may bank holiday off rick steve recommendation and loved it,"['stop', 'late', 'may', 'bank', 'holiday', 'rick', 'steve', 'recommend', 'love']",stop by dure the late may bank holiday off rick steve recommend and love it
the selection on the menu was great and so were the prices,1,"['selection', 'menu', 'great', 'prices']","['selection', 'menu', 'great', 'price']",the selection on the menu wa great and so were the price,"['select', 'menu', 'great', 'price']",the select on the menu wa great and so were the price
now i am getting angry and i want my damn pho,0,"['getting', 'angry', 'want', 'damn', 'pho']","['getting', 'angry', 'want', 'damn', 'pho']",now i am getting angry and i want my damn pho,"['get', 'angri', 'want', 'damn', 'pho']",now i am get angri and i want my damn pho
honeslty it didnt taste that fresh,0,"['honeslty', 'didnt', 'taste', 'fresh']","['honeslty', 'didnt', 'taste', 'fresh']",honeslty it didnt taste that fresh,"['honeslti', 'didnt', 'tast', 'fresh']",honeslti it didnt tast that fresh
the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer,0,"['potatoes', 'like', 'rubber', 'could', 'tell', 'made', 'ahead', 'time', 'kept', 'warmer']","['potato', 'like', 'rubber', 'could', 'tell', 'made', 'ahead', 'time', 'kept', 'warmer']",the potato were like rubber and you could tell they had been made up ahead of time being kept under a warmer,"['potato', 'like', 'rubber', 'could', 'tell', 'made', 'ahead', 'time', 'kept', 'warmer']",the potato were like rubber and you could tell they had been made up ahead of time be kept under a warmer
the fries were great too,1,"['fries', 'great']","['fry', 'great']",the fry were great too,"['fri', 'great']",the fri were great too
a great touch,1,"['great', 'touch']","['great', 'touch']",a great touch,"['great', 'touch']",a great touch
service was very prompt,1,"['service', 'prompt']","['service', 'prompt']",service wa very prompt,"['servic', 'prompt']",servic wa veri prompt
would not go back,0,"['would', 'go', 'back']","['would', 'go', 'back']",would not go back,"['would', 'go', 'back']",would not go back
the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced,0,"['cashier', 'care', 'ever', 'say', 'still', 'ended', 'wayyy', 'overpriced']","['cashier', 'care', 'ever', 'say', 'still', 'ended', 'wayyy', 'overpriced']",the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced,"['cashier', 'care', 'ever', 'say', 'still', 'end', 'wayyy', 'overpr']",the cashier had no care what so ever on what i had to say it still end up be wayyy overpr
i tried the cape cod ravoli chickenwith cranberrymmmm,1,"['tried', 'cape', 'cod', 'ravoli', 'chickenwith', 'cranberrymmmm']","['tried', 'cape', 'cod', 'ravoli', 'chickenwith', 'cranberrymmmm']",i tried the cape cod ravoli chickenwith cranberrymmmm,"['tri', 'cape', 'cod', 'ravoli', 'chickenwith', 'cranberrymmmm']",i tri the cape cod ravoli chickenwith cranberrymmmm
i was disgusted because i was pretty sure that was human hair,0,"['disgusted', 'pretty', 'sure', 'human', 'hair']","['disgusted', 'pretty', 'sure', 'human', 'hair']",i wa disgusted because i wa pretty sure that wa human hair,"['disgust', 'pretti', 'sure', 'human', 'hair']",i wa disgust becaus i wa pretti sure that wa human hair
i was shocked because no signs indicate cash only,0,"['shocked', 'signs', 'indicate', 'cash']","['shocked', 'sign', 'indicate', 'cash']",i wa shocked because no sign indicate cash only,"['shock', 'sign', 'indic', 'cash']",i wa shock becaus no sign indic cash onli
highly recommended,1,"['highly', 'recommended']","['highly', 'recommended']",highly recommended,"['highli', 'recommend']",highli recommend
waitress was a little slow in service,0,"['waitress', 'little', 'slow', 'service']","['waitress', 'little', 'slow', 'service']",waitress wa a little slow in service,"['waitress', 'littl', 'slow', 'servic']",waitress wa a littl slow in servic
this place is not worth your time let alone vegas,0,"['place', 'worth', 'time', 'let', 'alone', 'vegas']","['place', 'worth', 'time', 'let', 'alone', 'vega']",this place is not worth your time let alone vega,"['place', 'worth', 'time', 'let', 'alon', 'vega']",thi place is not worth your time let alon vega
did not like at all,0,['like'],['like'],did not like at all,['like'],did not like at all
the burrittos blah,0,"['burrittos', 'blah']","['burrittos', 'blah']",the burrittos blah,"['burritto', 'blah']",the burritto blah
the food amazing,1,"['food', 'amazing']","['food', 'amazing']",the food amazing,"['food', 'amaz']",the food amaz
service is also cute,1,"['service', 'also', 'cute']","['service', 'also', 'cute']",service is also cute,"['servic', 'also', 'cute']",servic is also cute
i could care less the interior is just beautiful,1,"['could', 'care', 'less', 'interior', 'beautiful']","['could', 'care', 'le', 'interior', 'beautiful']",i could care le the interior is just beautiful,"['could', 'care', 'less', 'interior', 'beauti']",i could care less the interior is just beauti
so they performed,1,['performed'],['performed'],so they performed,['perform'],so they perform
thats rightthe red velvet cakeohhh this stuff is so good,1,"['thats', 'rightthe', 'red', 'velvet', 'cakeohhh', 'stuff', 'good']","['thats', 'rightthe', 'red', 'velvet', 'cakeohhh', 'stuff', 'good']",thats rightthe red velvet cakeohhh this stuff is so good,"['that', 'rightth', 'red', 'velvet', 'cakeohhh', 'stuff', 'good']",that rightth red velvet cakeohhh thi stuff is so good
 they never brought a salad we asked for,0,"['never', 'brought', 'salad', 'asked']","['never', 'brought', 'salad', 'asked']",they never brought a salad we asked for,"['never', 'brought', 'salad', 'ask']",they never brought a salad we ask for
this hole in the wall has great mexican street tacos and friendly staff,1,"['hole', 'wall', 'great', 'mexican', 'street', 'tacos', 'friendly', 'staff']","['hole', 'wall', 'great', 'mexican', 'street', 'taco', 'friendly', 'staff']",this hole in the wall ha great mexican street taco and friendly staff,"['hole', 'wall', 'great', 'mexican', 'street', 'taco', 'friendli', 'staff']",thi hole in the wall ha great mexican street taco and friendli staff
took an hour to get our food only  tables in restaurant my food was luke warm our sever was running around like he was totally overwhelmed,0,"['took', 'hour', 'get', 'food', 'tables', 'restaurant', 'food', 'luke', 'warm', 'sever', 'running', 'around', 'like', 'totally', 'overwhelmed']","['took', 'hour', 'get', 'food', 'table', 'restaurant', 'food', 'luke', 'warm', 'sever', 'running', 'around', 'like', 'totally', 'overwhelmed']",took an hour to get our food only table in restaurant my food wa luke warm our sever wa running around like he wa totally overwhelmed,"['took', 'hour', 'get', 'food', 'tabl', 'restaur', 'food', 'luke', 'warm', 'sever', 'run', 'around', 'like', 'total', 'overwhelm']",took an hour to get our food onli tabl in restaur my food wa luke warm our sever wa run around like he wa total overwhelm
the worst was the salmon sashimi,0,"['worst', 'salmon', 'sashimi']","['worst', 'salmon', 'sashimi']",the worst wa the salmon sashimi,"['worst', 'salmon', 'sashimi']",the worst wa the salmon sashimi
also there are combos like a burger fries and beer for  which is a decent deal,1,"['also', 'combos', 'like', 'burger', 'fries', 'beer', 'decent', 'deal']","['also', 'combo', 'like', 'burger', 'fry', 'beer', 'decent', 'deal']",also there are combo like a burger fry and beer for which is a decent deal,"['also', 'combo', 'like', 'burger', 'fri', 'beer', 'decent', 'deal']",also there are combo like a burger fri and beer for which is a decent deal
this was like the final blow,0,"['like', 'final', 'blow']","['like', 'final', 'blow']",this wa like the final blow,"['like', 'final', 'blow']",thi wa like the final blow
i found this place by accident and i could not be happier,1,"['found', 'place', 'accident', 'could', 'happier']","['found', 'place', 'accident', 'could', 'happier']",i found this place by accident and i could not be happier,"['found', 'place', 'accid', 'could', 'happier']",i found thi place by accid and i could not be happier
seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere,0,"['seems', 'like', 'good', 'quick', 'place', 'grab', 'bite', 'familiar', 'pub', 'food', 'favor', 'look', 'elsewhere']","['seems', 'like', 'good', 'quick', 'place', 'grab', 'bite', 'familiar', 'pub', 'food', 'favor', 'look', 'elsewhere']",seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere,"['seem', 'like', 'good', 'quick', 'place', 'grab', 'bite', 'familiar', 'pub', 'food', 'favor', 'look', 'elsewher']",seem like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewher
overall i like this place a lot,1,"['overall', 'like', 'place', 'lot']","['overall', 'like', 'place', 'lot']",overall i like this place a lot,"['overal', 'like', 'place', 'lot']",overal i like thi place a lot
the only redeeming quality of the restaurant was that it was very inexpensive,1,"['redeeming', 'quality', 'restaurant', 'inexpensive']","['redeeming', 'quality', 'restaurant', 'inexpensive']",the only redeeming quality of the restaurant wa that it wa very inexpensive,"['redeem', 'qualiti', 'restaur', 'inexpens']",the onli redeem qualiti of the restaur wa that it wa veri inexpens
ample portions and good prices,1,"['ample', 'portions', 'good', 'prices']","['ample', 'portion', 'good', 'price']",ample portion and good price,"['ampl', 'portion', 'good', 'price']",ampl portion and good price
poor service the waiter made me feel like i was stupid every time he came to the table,0,"['poor', 'service', 'waiter', 'made', 'feel', 'like', 'stupid', 'every', 'time', 'came', 'table']","['poor', 'service', 'waiter', 'made', 'feel', 'like', 'stupid', 'every', 'time', 'came', 'table']",poor service the waiter made me feel like i wa stupid every time he came to the table,"['poor', 'servic', 'waiter', 'made', 'feel', 'like', 'stupid', 'everi', 'time', 'came', 'tabl']",poor servic the waiter made me feel like i wa stupid everi time he came to the tabl
my first visit to hiro was a delight,1,"['first', 'visit', 'hiro', 'delight']","['first', 'visit', 'hiro', 'delight']",my first visit to hiro wa a delight,"['first', 'visit', 'hiro', 'delight']",my first visit to hiro wa a delight
service sucks,0,"['service', 'sucks']","['service', 'suck']",service suck,"['servic', 'suck']",servic suck
the shrimp tender and moist,1,"['shrimp', 'tender', 'moist']","['shrimp', 'tender', 'moist']",the shrimp tender and moist,"['shrimp', 'tender', 'moist']",the shrimp tender and moist
there is not a deal good enough that would drag me into that establishment again,0,"['deal', 'good', 'enough', 'would', 'drag', 'establishment']","['deal', 'good', 'enough', 'would', 'drag', 'establishment']",there is not a deal good enough that would drag me into that establishment again,"['deal', 'good', 'enough', 'would', 'drag', 'establish']",there is not a deal good enough that would drag me into that establish again
hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didnt want to eat it for fear of getting sick,0,"['hard', 'judge', 'whether', 'sides', 'good', 'grossed', 'melted', 'styrofoam', 'didnt', 'want', 'eat', 'fear', 'getting', 'sick']","['hard', 'judge', 'whether', 'side', 'good', 'grossed', 'melted', 'styrofoam', 'didnt', 'want', 'eat', 'fear', 'getting', 'sick']",hard to judge whether these side were good because we were grossed out by the melted styrofoam and didnt want to eat it for fear of getting sick,"['hard', 'judg', 'whether', 'side', 'good', 'gross', 'melt', 'styrofoam', 'didnt', 'want', 'eat', 'fear', 'get', 'sick']",hard to judg whether these side were good becaus we were gross out by the melt styrofoam and didnt want to eat it for fear of get sick
on a positive note our server was very attentive and provided great service,1,"['positive', 'note', 'server', 'attentive', 'provided', 'great', 'service']","['positive', 'note', 'server', 'attentive', 'provided', 'great', 'service']",on a positive note our server wa very attentive and provided great service,"['posit', 'note', 'server', 'attent', 'provid', 'great', 'servic']",on a posit note our server wa veri attent and provid great servic
frozen pucks of disgust with some of the worst people behind the register,0,"['frozen', 'pucks', 'disgust', 'worst', 'people', 'behind', 'register']","['frozen', 'puck', 'disgust', 'worst', 'people', 'behind', 'register']",frozen puck of disgust with some of the worst people behind the register,"['frozen', 'puck', 'disgust', 'worst', 'peopl', 'behind', 'regist']",frozen puck of disgust with some of the worst peopl behind the regist
the only thing i did like was the prime rib and dessert section,1,"['thing', 'like', 'prime', 'rib', 'dessert', 'section']","['thing', 'like', 'prime', 'rib', 'dessert', 'section']",the only thing i did like wa the prime rib and dessert section,"['thing', 'like', 'prime', 'rib', 'dessert', 'section']",the onli thing i did like wa the prime rib and dessert section
its too bad the food is so damn generic,0,"['bad', 'food', 'damn', 'generic']","['bad', 'food', 'damn', 'generic']",it too bad the food is so damn generic,"['bad', 'food', 'damn', 'gener']",it too bad the food is so damn gener
the burger is good beef cooked just right,1,"['burger', 'good', 'beef', 'cooked', 'right']","['burger', 'good', 'beef', 'cooked', 'right']",the burger is good beef cooked just right,"['burger', 'good', 'beef', 'cook', 'right']",the burger is good beef cook just right
if you want a sandwich just go to any firehouse,1,"['want', 'sandwich', 'go', 'firehouse']","['want', 'sandwich', 'go', 'firehouse']",if you want a sandwich just go to any firehouse,"['want', 'sandwich', 'go', 'firehous']",if you want a sandwich just go to ani firehous
